"","X","time","text","user_followers","user_verified","likes","retweets"
"160","215","01/01/2023, 23:47:23","@JohnHRuiz I mean, I know how to make a red sauce. You looking for a red sauce recipe for pasta or one for enchiladas?",30543,0,5,0
"161","216","01/01/2023, 23:47:12","All this AI art stuff has reminded me of the fun creepy pasta concerning the uncanny valley and humanity having the… https://t.co/06D9tXmED1",2144,0,28,0
"162","217","01/01/2023, 23:46:55","@pasta_mouse I'm really glad I met you too",382,0,0,0
"163","218","01/01/2023, 23:46:51","@norahmj_ @stessiee_c My mom does two kind of soup one with beef the other with chicken because of her health issue… https://t.co/GD1PdVgNtx",115,0,1,0
"164","219","01/01/2023, 23:46:45","i wish Tank didnt give me anxiety I’d main Dva and Orisa so fast 🫠",16963,0,6,0
"165","220","01/01/2023, 23:46:40","I want pizza, pasta, and a boil bag lol",3005,0,0,0
"166","222","01/01/2023, 23:46:27","@fakeitoffline u can introduce foods in certain ways that will help! like the most common example is when ppl dont… https://t.co/QzLJ9P6ouD",484,0,1,0
"167","224","01/01/2023, 23:46:19","@Crafty_pasta The yummers",5,0,1,0
"168","226","01/01/2023, 23:45:59","@misty_horizons asiago on pasta,  although no proper cheese and cracker board yet.  We do that with the family at C… https://t.co/vZAZkjhK7M",5,0,0,0
"169","227","01/01/2023, 23:45:50","Success pussy and pasta…… https://t.co/UbXb4ufdTO",139,0,0,0
"170","229","01/01/2023, 23:45:45","@ChaoticGoodBoi sis? 🤢 &amp; im shittin &amp; fartin",16963,0,0,0
"171","230","01/01/2023, 23:45:37","Cook the beef and noodles
Combine everything with the beef leaving half the cheese for topping adding some pasta wa… https://t.co/J1rrujl8vp",5001,0,0,0
"172","231","01/01/2023, 23:45:10","@pasta_creator I mean, I assume that was just hyperbole, but these idiots truly don’t understand that no-one gives… https://t.co/uvdnZTdxwr",2012,0,1,0
"173","232","01/01/2023, 23:45:04","@ShellyCocoaBun @pasta_mouse That's the blunt hittin yanno",40,0,1,0
"174","233","01/01/2023, 23:44:58","Dropped of my grandma from the airport. Told her I wasnt hungry and now im driving home with 8 bags of chicken and pasta to defrost lol",266,0,0,0
"175","234","01/01/2023, 23:44:56","Does anyone here know how to make Łazanki noodles? (Belarusian: лазанкі, Lithuanian: skryliai) A type of pasta. It… https://t.co/pBTrRR4WeJ",1003,0,7,1
"176","235","01/01/2023, 23:44:53","points at the pasta
im gonna fuck it",7,0,0,0
"177","236","01/01/2023, 23:44:48","@Zoyzeebo to many more pasta &amp; this is us nights in BB❤️‍🔥❤️‍🔥",43,0,1,0
"178","237","01/01/2023, 23:44:41","I cooked Garlic veggie Rotini Pasta &amp; it was bomb 🥰",648,0,0,0
"179","239","01/01/2023, 23:44:19","Lucchini sounds like a type of pasta https://t.co/779hUbszSv",256,0,0,0
"180","240","01/01/2023, 23:44:19","Pasta, Pane, Vino: Deep Travels Through Italy's Food Culture RMMKQ9H

https://t.co/QCc4Fdm7Gw https://t.co/p06KsRfrrH",9,0,0,0
"181","241","01/01/2023, 23:44:14","@PhilSlayden What amends? 

Maybe a full dinner set, bowls, side plates, dinner plates, serving platter, soup bowls… https://t.co/WfXc26OgJ7",68,0,0,0
"182","246","01/01/2023, 22:52:43","Recipe ➡️ https://t.co/OCyG0RNfgH
Cheesesteak pasta skillet is easy, delicious and the perfect comfort food for a b… https://t.co/FtR77OmAnM",32268,0,742,102
"183","247","12/27/2022, 02:00:10","This Italian sausage pasta is quick, comforting, and perfect for weeknights: https://t.co/rpnf16XbKr https://t.co/W2wn1nJmUJ",288215,1,606,79
"184","248","12/29/2022, 04:23:32","My depression manifests as me only making pasta with butter for every meal",19118,1,873,95
"185","249","12/29/2022, 04:28:28","Body built by pasta with butter",19118,1,471,86
"186","250","12/27/2022, 00:00:16","Lemon zest, lemon juice, Parmesan and basil come together for a silky and vibrant sauce that makes this weeknight-f… https://t.co/28x4V6NqVq",54832259,1,938,72
