"","X","time","text","user_followers","user_verified","likes","retweets"
"146","13298","01/03/2023, 23:57:13","made the mistake of laying down instead of starting dinner and now I can’t get up smh",1596,0,0,0
"147","4112","12/31/2022, 22:15:01","Perfect comfort food for a cold winter day! Kapusta Soup | Polish Sauerkraut Kapusniak Soup | Traditional Kielbasa… https://t.co/WzVhDoiyBw",4989,0,1,0
"148","952","01/01/2023, 14:09:18","Coconut Meat vs Peanuts: Difference, Benefits, More https://t.co/pyTQTz9dmS #vegan #plantbased #wholefoods… https://t.co/d9aqnIUYoL",9,0,0,0
"149","101","12/25/2022, 18:46:27","93yo pani Olena made herself more than 500 candles for soldiers in trenches. They use them to get warm &amp; cook food.… https://t.co/lRUIoB4RUH",114053,1,13177,2210
"150","14341","01/04/2023, 22:13:04","Look what abstinence from pizza may cause ...

#harrypotter #voldemort  #memes #food #pizza #jokes #fun… https://t.co/vZEsqD0CzA",87,0,4,1
"151","419","01/01/2023, 20:49:44","A batch or two of one of these cupcake #recipes would be a nice contribution to a #potluck gathering.… https://t.co/QYfWjcbZHK",5,0,0,0
"152","13365","01/04/2023, 23:58:02","The Samsung smart kitchen will help with food every step of the way, from when food goes into the fridge to when di… https://t.co/EHJFfxD3ya",11942,0,1,1
"153","9852","01/03/2023, 21:12:45","Vegan protein bars made with high-quality, sustainably sourced, plant-based ingredients, from @Gomacro I love them!… https://t.co/UsYBtzftcS",494,0,2,0
"154","7958","01/01/2023, 23:57:55","Mexican Pizza is the pizza for you and me",327,0,3,1
"155","9057","01/02/2023, 17:09:11","Click to see more https://t.co/slJtKkpxKE
Slippy Ebony Gal Cali Sweet Gets Screwed And Takes A Cumshot On Her Fanny… https://t.co/Msf82kJL4p",85,0,0,0
"156","3701","01/02/2023, 23:08:02","#RecipeOfTheDay 
👉Winter Detox Healthy Broccoli Salad
 🔗https://t.co/IyfCR0wdK2 
More than anything, this #healthy… https://t.co/upTiCrDQfB",4164,0,10,2
"157","3382","01/01/2023, 21:25:59","View.

#instagram #instalike #instagood #photography #photographer #lifestyle #life #view #moment #viral #earth… https://t.co/vb7YJuDTrr",0,0,0,0
"158","6163","01/01/2023, 16:16:04","#GailMcGhie was asked what types of #food she enjoys #eating. #chicken #turkeychili #jambalaya #fish #greekyogurt… https://t.co/27NeHrfBwB",300,0,0,0
